Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF,WPts,LPts,WPos,LPos,Pos,WOffRtg,LOffRtg,WDefRtg,LDefRtg,WNetRtg,LNetRtg,WAstR,LAstR,WTOR,LTOR,WTSP,LTSP,WeFGP,LeFGP,WFTAR,LFTAR,WORP,LORP,WDRP,LDRP,WRP,LRP,WPIE,LPIE
2003,134,1421,92,1411,84,N,1,32,69,11,29,17,26,14,30,17,12,5,3,22,29,67,12,31,14,31,17,28,16,15,5,0,22,92,84,75.30239999999999,75.4944,75.3984,122.01850437144554,111.40819964349377,111.40819964349377,122.01850437144554,10.610304727951771,-10.610304727951771,15.533625730994153,14.331780723754926,14.331780723754926,14.331780723754926,57.18547986076579,52.083333333333336,0.5434782608695652,0.5223880597014925,0.37681159420289856,0.4626865671641791,0.3333333333333333,0.3617021276595745,0.6382978723404256,0.6666666666666666,0.4943820224719101,0.47191011235955055,0.5942622950819673,0.4057377049180328
2003,136,1112,80,1436,51,N,0,31,66,7,23,11,14,11,36,22,16,10,7,8,20,64,4,16,7,7,8,26,12,17,10,3,15,80,51,74.0736,73.0368,73.5552,108.7618550421996,69.33568258940225,69.33568258940225,108.7618550421996,39.426172452797346,-39.426172452797346,19.970951343500364,12.489592006661116,12.489592006661116,12.489592006661116,55.43237250554324,38.014311270125226,0.5227272727272727,0.34375,0.21212121212121213,0.109375,0.2972972972972973,0.18181818181818182,0.8181818181818182,0.7027027027027027,0.5802469135802469,0.4567901234567901,0.7692307692307693,0.23076923076923078
2003,136,1113,84,1272,71,N,0,31,59,6,14,16,22,10,27,18,9,7,4,19,25,69,7,28,14,21,20,22,11,12,2,5,18,84,71,64.9728,67.43039999999999,66.2016,126.88515081206498,107.24816318638825,107.24816318638825,126.88515081206498,19.636987625676724,-19.636987625676724,18.812709030100333,10.865270644014224,10.865270644014224,10.865270644014224,61.1531741409435,45.37321063394683,0.576271186440678,0.41304347826086957,0.3728813559322034,0.30434782608695654,0.3125,0.425531914893617,0.574468085106383,0.6875,0.46835443037974683,0.4050632911392405,0.6835443037974683,0.31645569620253167
2003,136,1141,79,1166,73,N,0,29,53,3,7,18,25,11,20,15,18,13,1,19,27,60,7,17,12,17,14,17,20,21,6,6,21,79,73,68.16,71.5008,69.8304,113.13124369901935,104.5389973421318,104.5389973421318,113.13124369901935,8.592246356887557,-8.592246356887557,15.463917525773196,18.436578171091444,18.436578171091444,18.436578171091444,61.71875,54.090100770598696,0.5754716981132075,0.5083333333333333,0.4716981132075472,0.2833333333333333,0.39285714285714285,0.4117647058823529,0.5882352941176471,0.6071428571428571,0.5,0.45161290322580644,0.5855855855855856,0.4144144144144144
2003,136,1143,76,1301,74,N,1,27,64,7,20,15,23,18,20,17,13,8,2,14,25,56,9,21,15,20,10,26,16,14,5,8,19,76,74,66.3552,66.048,66.2016,114.80085073472546,111.77977571539057,111.77977571539057,114.80085073472546,3.021075019334887,-3.021075019334887,16.327314636957357,16.877637130801688,16.877637130801688,16.877637130801688,51.268213707501346,57.098765432098766,0.4765625,0.5267857142857143,0.359375,0.35714285714285715,0.4090909090909091,0.3333333333333333,0.6666666666666666,0.5909090909090909,0.5135135135135135,0.5945945945945946,0.49166666666666664,0.5083333333333333
2003,136,1163,58,1140,53,N,0,17,52,4,14,20,27,12,29,8,14,3,8,16,20,64,2,17,11,13,15,26,11,11,8,4,22,58,53,63.24479999999999,63.09119999999999,63.16799999999999,91.81864235055725,83.90324214792301,83.90324214792301,91.81864235055725,7.915400202634245,-7.915400202634245,9.315323707498836,11.993022241604885,11.993022241604885,11.993022241604885,45.397620538509706,38.009179575444634,0.36538461538461536,0.328125,0.5192307692307693,0.203125,0.3157894736842105,0.3409090909090909,0.6590909090909091,0.6842105263157895,0.5,0.4634146341463415,0.5581395348837209,0.4418604651162791
2003,136,1181,67,1161,57,N,0,19,54,4,13,25,31,13,27,4,16,10,8,23,18,54,3,11,18,22,11,24,8,19,5,4,19,67,57,67.81439999999999,68.81280000000001,68.31360000000001,98.07710324152144,83.4387296233839,83.4387296233839,98.07710324152144,14.638373618137535,-14.638373618137535,4.564125969876769,8.822232024702249,8.822232024702249,8.822232024702249,49.52690715552927,44.755025125628144,0.3888888888888889,0.3611111111111111,0.5740740740740741,0.4074074074074074,0.35135135135135137,0.2894736842105263,0.7105263157894737,0.6486486486486487,0.5333333333333333,0.49333333333333335,0.6209677419354839,0.3790322580645161
2003,136,1211,74,1153,69,N,0,20,47,6,14,28,37,8,28,12,12,2,2,15,26,66,10,27,7,10,13,22,13,10,7,6,24,74,69,64.58879999999999,64.70400000000001,64.6464,114.46886446886447,106.73448173448175,106.73448173448175,114.46886446886447,7.73438273438272,-7.73438273438272,13.748854262144821,13.918629550321198,13.918629550321198,13.918629550321198,58.470290771175726,49.00568181818181,0.48936170212765956,0.4696969696969697,0.7872340425531915,0.15151515151515152,0.26666666666666666,0.3170731707317073,0.6829268292682927,0.7333333333333333,0.5070422535211268,0.4225352112676056,0.5714285714285714,0.42857142857142855
2003,136,1228,65,1443,60,N,0,24,56,5,14,12,14,15,23,15,14,11,4,14,22,58,8,24,8,13,17,18,10,14,6,5,16,65,60,58.71359999999999,58.291199999999996,58.502399999999994,111.10655289355651,102.55989497866756,102.55989497866756,111.10655289355651,8.546657914888954,-8.546657914888954,16.45458534444932,11.399908800729595,11.399908800729595,11.399908800729595,52.28442728442729,47.080979284369114,0.4732142857142857,0.4482758620689655,0.25,0.22413793103448276,0.45454545454545453,0.425,0.575,0.5454545454545454,0.5205479452054794,0.4520547945205479,0.643979057591623,0.35602094240837695
2003,136,1242,64,1429,61,N,0,28,51,2,6,6,11,7,20,13,11,8,4,17,23,56,6,17,9,10,13,19,13,13,6,1,15,64,61,57.446400000000004,57.984,57.7152,110.88933244621866,105.69139498780218,105.69139498780218,110.88933244621866,5.197937458416476,-5.197937458416476,16.28256513026052,15.046296296296296,15.046296296296296,15.046296296296296,57.306590257879655,50.496688741721854,0.5686274509803921,0.4642857142857143,0.21568627450980393,0.17857142857142858,0.2692307692307692,0.3939393939393939,0.6060606060606061,0.7307692307692307,0.4576271186440678,0.4406779661016949,0.5532994923857868,0.4467005076142132
